Product,Consumer complaint narrative
Credit card,"I am a victim of id theft and it has been an on going issues for me verifying accounts reporting on my credit some of which are unknown to me, I request that you please forward all information pertaining to the opening of this account opened without my authorization."
Credit card or prepaid card,This card was fraudulently opened in my name it was not me and i need it resolved as soon as possible thank you
Checking or savings account,Early Warning services has violated my consumer privacy rights. Please demand removal fraudulent addresses and accounts.
Credit card or prepaid card,i paid the bill off in full and i contacted the credit card company to see if they can remove it from the credit and no one wants to help
"Money transfer, virtual currency, or money service","I just received a text message from someone named XXXX saying that theres a {$1000.00} payment waiting for me on the cash app. It wanted me to click the link. Im suspecting its a scam, so I wanted to let you know about it."
Credit card,"XX/XX/XXXX, XXXX was the amount the merchant company had sent over proof of return my funds that chime filed to give me back they have be lying to me discriminated against me racism is a factor"
Bank account or service,Social security profile was hacked and new bank account for direct deposit for wells fargo on XX/XX/2016 payment went into which is not my bank or account wells fargo refuses to return money back so i can get my payment to correct bank account
Checking or savings account,"Due to serious problems with PayPal in the past, I paid off the account and requested it closed. I am unable to remove my banking information from their website."
Checking or savings account,Bank of America took XXXX from me and now saying I owe them
Checking or savings account,"I don't have dates at the moment, but I have definitely had problems with Wells Fargo 's surprising overdraft fees. On numerous occasions. I've been with this bank for over 30 years now."
"Money transfer, virtual currency, or money service",I have been using XXXX without a proper disclosure
Debt or credit management,Level one law said they would negotiate my debt and never did. Took XXXX and not XXXX account was settled. Did refund XXXX and said rest was fees
"Money transfer, virtual currency, or money service",I contacted Wellsfargo stated that the XXXX transaction wasnt me or mine they stated since it was my account basically it was my transaction
Credit card,I have three transactions on my XXXX account. I have tried to dispute it and refund these transactions. I I do not agree with the transactions in XXXX is not allowing me to dispute any of these charges. Please help.
"Credit reporting, credit repair services, or other personal consumer reports","IpaidoffmyXXXXXXXXXXXXcreditcardthatpostedtomyaccountonXX/XX/2019.IcalledXXXXtoinquireaboutthecreditreportingupdateandtheysaidtheyonlyreportonthelastdayofthemonth.

XX/XX/2019Icalledagainasthebalancestilldidnotreflectthepayoff.XXXXstatedthatbecauseIhadpaidmidXXXX,itwaspossiblethatIdidn'tmakethereportingtimebutshouldbeokforXXXXreporting.Isubmitted2disputes,tryingtogetthemtoremovethehighbalanceASAP,asIamtryingtomakealargepurchase(e.g.,Car/home)EarlyXXXX,XXXXXXXXnotifiedmethatmybalancehadchanged.WhenIcheckedit,itshowedmypaymentof{$2400.00},whichhelpedmycreditscoretremendously.

Yesterday,XX/XX/19IgotaXXXXXXXXnotificationthatthe{$2400.00}wasmyXXXXcreditcardbalanceagain.

Today,XX/XX/19IcalledXXXXandspoketoXXXXwhostatedthattheyarereportingaXXXX$balancebutthatthecreditbureaushave30-60daystomakethechanges.Theyalsoprovidedmewithaletterstatingthattheywerereportingthe{$0.00}balance.

IalsocalledEquifaxandtriedtoexplainthesituationandthatthehistoricalbackgroundontheirdisputeresponseshowsthe{$2400.00}paymentonXX/XX/XXXXbutthatnowithasbeenreverted.Theirresponse?Thecompanyconfirmedtousthatthereportingdataisaccurate.NO,ITISNOT.

IkepttellingbothcompaniesthatIshouldnothavetowaitanother30-60daysbecausethereappearstobeaglitchsomewhereandsomeoneneedstolookoutsidethenormalreportingprocess.Otherwisetheywillbothkeeptellingmethesamething,monthaftermonth.IneedthisresolvedASAP.Thisoneinstancedroppedmycreditscore17points!TherepresentativeswereniceandtriedtobehelpfulbutIfeltliketheyknewaprocessandnothingoutsidetheprocesswasanoption.....butthereneedstobeoptionsbecausethisisnotanormalreportinghabit.

Equifaxhassubmittedyetanotherdisputeonmybehalf,whichisnotgoingtohelp.IFXXXXsaysthey'rereportingthe{$0.00}balance,andEquifaxissayingXXXXisreportingthe{$2400.00}balance,somethingisobviouslyincorrectandneedstoberesolvedasap."
Debt collection,Synchrony bank is saying I still owe them for a PayPal credit card. They made a settlement with the debt consolidation XXXX XXXX XXXX. The check was mailed to them in XX/XX/2020. They are still saying I owe them and reporting it on my credit report as unpaid.
Checking or savings account,Identify theft social security XXXX some ones stealing from my accounts from the usbank department.
Credit reporting or other personal consumer reports,"I am a victim of XXXX. The information listed below, which appears on my credit report, is the result of that XXXX. 

Account Name : XXXX  XXXX # XXXX - Balance {$340.00}"
"Money transfer, virtual currency, or money service","XXXX XXXX -negative $ XXXX XXXX, 2021 Money Sent Your recipient should have the money by XX/XX/2021. 


Transaction ID XXXX Contact info XXXX XXXX XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","I am writing to dispute these fraudulent charges on my account. I am a victim of identity theft, and I did not make this charge. I request that you remove the fraudulent charge and any related finance charges from my account."
Credit card,"I always pay on time and I know this for sure. I don't understand why this company says I'm late some months. This shouldn't happen. According to USC 1666b, any billing mistakes should be fixed and marked as paid on time."
Credit reporting or other personal consumer reports,REPORTING ACCOUNT THAT DOES NOT BELONG TO ME ON CREDIT REPORT. THE XXXX XXXX  ACCOUNT AND BALANCE DO NOT BELONG TO ME. FRAUD/IDENTITY THEFT. IDENTITY THEFT POLICE REPORT AND LETTERS ATTACHED TO REMOVE ACCOUNT.
Credit reporting or other personal consumer reports,When I was checking my credit report I noticed there were inquiries that did not belong to me.
Credit reporting or other personal consumer reports,balance on the account is incorrect I have tried to even communicate that the address the company is reporting is also incorrect.
Checking or savings account,"My account was closed, they stated that I deposited a check that was bounced and I didnt put no check in my account, so I dont understand where its coming from. So my account was closed and they saying I owe them money..."
Credit card,"I repeatedly requested my account be closed. As of this date my account remains open. 
I made a payment for XX/XX/2023 for fear I would be charged late fees and penalties Please close my account immediately. 
Please submit on time never late payments to the credit bureaus."
Credit card or prepaid card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
Credit card,"I have consistently ensured that payments on this account are made on time, never allowing them to become overdue. I am unsure about the reasons for reports of late payment remarks on my accounts. According to 15 USC 1666b, billing errors should be corrected."
Debt collection,I paid my debt in full. They sent me a bill for interest on a {$0.00} balance. They have continued to harass me for said interest and charge me fees.
Credit card or prepaid card,Somebody used my information to make a credit card
Debt collection,I didnt receive a copy of the original debt or a notification from the debt collector in regards to this balance owed. So there was no opportunity to pay or dispute this debt.
Checking or savings account,I had accounts between XXXX with TD bank and all my accounts close and all of the accounts had fees access to the account
Checking or savings account,XX/XX/2021 {$16000.00} account was close never got my money called XXXX times they coundnt figure out what happent the money
Credit card or prepaid card,"State Farm Bank is reporting a balance of 6,000+ to my credit report and its affecting my account. This account was not opened by me. I was a victim of Identity Theft but the company is still reporting this negative balance to my credit report."
Checking or savings account,"Have been the victim of identity theft since XXXX Never opened Perosnal Chehings and or Savings with Bank of America. 
I Never Opened any Business Account in my name with Bank Of America. 
As per XXXX XXXX I Owe a balance. This is the result of result of Fraud."
Debt collection,It shows an account was open on my behalf on XX/XX/year> and an outstanding balance of {$450.00} is being owed. I NEVER received a card nor made a purchase I have also included a identity theft report Ive created
Credit reporting or other personal consumer reports,"XXXX CREDIT CARD IS REPORTING A FRAUDULENT ACCOUNT AND I WAS A MEMBER UNDER THE DATA BREACH FOR XXXX XXXX, XXXX XXXX  AND MORE IDENTITY THEFT THIS ACCOUNT AND BALANCE DO NOT BELONG TO ME"
Credit card,I returned a dress and the credit card company will not contact the vendor.
"Credit reporting, credit repair services, or other personal consumer reports","I paid for monthly membership for the past few months and was never able to access an updated credit report and score. Everytime I called in, they would only apologize but never refund or credit my account. I still can not access it online updated."
Vehicle loan or lease,High interest rate on a car that is old and have high miles
Checking or savings account,Back in XXXX  alot of fraud activities and suppose to check into causes me to pay money for transaction I didn't do. Approx XXXX
Credit card or prepaid card,"It is truly absurd to witness late payments reflected on my account, as I have consistently paid this account on time without any instances of being late."
Checking or savings account,I have overdraft protection on my account but have still been overdraft on numerous occasions since opening my account and received overdraft fees
Credit card,"Finding an error indicating a late payment on my account is distressing, especially considering my history of consistently meeting payment deadlines."
Checking or savings account,Someone opened an account in my name at Bank Of America on XX/XX/2023 and deposit XXXX on XX/XX/2023 then withdrew it out
Checking or savings account,Regarding my Wells Fargo account I was charged late fees constantly and then they closed my account.
Debt collection,"IT WAS STOLEN 1-MY PERSONAL INFORMATION WAS STOLEN, I NEVER HAD BUSINESS WITH BOUNCE AL INC. AND XXXX. 

2-ALL THESE ARE FRAUDULENT WITH FALSE STATEMENT 3-I NEVER SIGNED ANY DOCUMENTS, FALSE STATEMENT."
Credit card or prepaid card,"I want this late payment deleted from my account within 15 days, this is not mine, I'm not aware of this, Under USC 1666b. 
See the documents attached."
"Money transfer, virtual currency, or money service",This company owes me {$74.00} and refusing to refund me for a Product I returned
Checking or savings account,have police report back since 1999 someone stole my id ftc violation i'm stilling paying on the other person act
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts. I am never been late on this account.
Credit card,I applied for a XXXX Credit Card with US Bank with a FICO score of XXXX and wasrejected and I have been treated very unfairly by the bank..
Credit card or prepaid card,The current issue is causing me significant distress and is having a negative impact on my sleep. It is challenging for me to accept this situation. I implore you to take immediate action to update my account.
Credit reporting or other personal consumer reports,Recently checking my credit report I noticed that I have been a victim of identity theft and found fraudulent account in my credit report ( XXXXXXXX XXXX  Date opened XXXX ) Please remove this fraudulent account from my credit report. Thank
Credit reporting or other personal consumer reports,Credit card was reporting negative information and proof was supplied that it was mine credit one is the company name
Debt collection,I have an acct with XXXX XXXX XXXX that is now in bankruptcy but in the comments it is stating charge off fixed rates which is incorrect it should state in the comments included in bankruptcy chapterXXXX
"Money transfer, virtual currency, or money service",Coinbase has flagged my XXXX account that i have since 2017 for manual review. Cant withdraw my funds. I don't think they have the right to keep my assest hostage like this. Case number # XXXX
"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/2021 contract XXXX debt were forgiven, the CRA is still reporting this false information on my report which is causing great harm to my credit worthiness. The company that forgave the debt in a written statement, stated this information should not be on furnished on my report."
Credit reporting or other personal consumer reports,"I've learned that the creditor didn't provide the necessary XXXX notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor."
Debt collection,This account is very old and should have fallen off. this credit card was from XXXX XXXX from bank in XXXX i live in WI where the statue of limitation is 6 years.
Debt collection,Sold to third party to collect a charge off account
Credit card,"Throughout my history with this account, I've consistently maintained timely payments, never allowing them to lapse into overdue status. The existence of late payment remarks on my accounts perplexes me. I refer to 15 USC 1666b, which mandates the correction of billing errors."
Credit card,I've consistently maintained timely payments on this account and have never been late. I'm puzzled by the reports of late payment remarks on my accounts.
Checking or savings account,I have been attempting to work with Mountain America credit union to join my debt management program and to get my payments caught up and they will not respond to the requests and are continually taking money from my ex husbands bank account
"Credit reporting, credit repair services, or other personal consumer reports",XXXX posted an old charge off on my XXXX credit report with incorrect information. The account last activity date is listed as XX/XX/XXXX when it should be XXXX
Checking or savings account,B OF A unjust close my checking account and never refunded me XXXX that was in that account. I want my money
Credit card,Ive been with capital one 7+ years. I lost my job and started paying less that the whole amount. My interest went from 14 % interest to just under XXXX.
Credit reporting or other personal consumer reports,I have never applied nor wish to apply for any credit card at this time or anytime in the near future. It has come to my attention that XXXX has submitted a hard inquiry on my Trans Union report as alerted by XXXX XXXX.
Checking or savings account,"I have been receiving spam mail from TD Bank.

I did not sign up to receive this spam mail.

Just today, I received another spam mail.

I have attached the front and back of the spam mail I received."
Checking or savings account,i disputed an amount of {$130.00} on XX/XX/XXXX Wells Fargo gave me a temporary credit. on XX/XX/XXXX the amount was charged back to my checking account. I did n't receive any notification that the claim had been resolved.
Credit reporting or other personal consumer reports,"I've learned that the creditor didn't provide the necessary 21-day notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor."
Credit card or prepaid card,"I want this late payment deleted from my account within 15 days, this is not mine, I'm not aware of this, Under USC 1666b. 

XXXX. XXXX XXXX # XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXXXXXX"
Credit reporting or other personal consumer reports,"Transunion is showing a hard inquiry on my account from XXXX XXXX XXXXXXXX on XX/XX/year> for a credit card application, which was a result of fraud. They have refused to remove it from my account without a formal complaint."
"Credit reporting, credit repair services, or other personal consumer reports",I need correction in my address and my name on all the credit bureau ... cause when i try to get credit card they denied my reqs and i have good credit .. i am waiting since XX/XX/2018 .. i sent id and i still waiting ...
Checking or savings account,I keep filling a dispute for {$2100.00} and they keep denying it I just want my money XXXX
"Credit reporting, credit repair services, or other personal consumer reports",I applied for a credit card at XXXX I was denied by Experian because it said that I am deceased?? How do I correct that information? And what recourse do I need to do for this error??? XXXX
"Money transfer, virtual currency, or money service","Hello I'm XXXX XXXX and I'm XXXX years old, I created a paypal account, but they permanently limited it. Telling me that I can't use paypal anymore after providing them with all of my details and SSN, I will like my account to be restored"
Checking or savings account,Reopening case XXXX. Ally lied and the problem was only fixed for 2 days before the system crashed.
Credit card or prepaid card,We had a gift card worth of {$75.00} from Vanilla visa debit card service We have not purchased anything and the card balance is now {$0.00} It is a bogus transaction and would like to dispute the card service Vanilla
"Money transfer, virtual currency, or money service",A transfer I knew nothing of BANK OF AMERICA Fund Transfer XX/XX/2021 XXXX Direct Deposit Funds Transfer to checking/savings $ XXXX
"Credit reporting, credit repair services, or other personal consumer reports",Experian has reported an inaccurate balance from XXXX  XXXX XXXX on your credit report for the month of XX/XX/2023.
Credit reporting or other personal consumer reports,15 USC 1666b a creditor may not treat a payment on a credit card account under an open-end A consumer credit plan as late for any purpose FDCPA 807 False misleading information FDCPA 8012 furnishing deceptive forms must remove late payments under CARES Forbes act
"Credit reporting, credit repair services, or other personal consumer reports",I closed my account XXXX {$2000.00} paid balance in full {$430.00} Was never late! for 4 years .Not only did they add a dollar after closure in the month of XXXX on a closed account they are reporting me 60 days overdue with {$100.00} in oustanding fee balance
Checking or savings account,"I had a acct. And it was closed, so I am trying to see where my money went. It is a XXXX acct. I have contacted and asked for my records and to no avail.. my deposit from my 2023 taxes were deposited into it."
"Money transfer, virtual currency, or money service","Starting on the XXXX of XX/XX/2019, I fell victim to fraudulent Crypto Currency companies named XXXX ( the Companies ).  Money was transferred from my account to the Companies via credit card for a total amount of XXXX GBP utilizing Coinbase services."
Checking or savings account,This bank Capital One has thrown me ( My Account ) out. This bank has locked my direct deposits from transfer to my new bank. An assistant says I has no access to the funds as a get tough policy.
Credit card,It is completely unfair to find late payments on my account given my consistent history of timely payments. I demand that this error is rectified promptly. I kindly implore you to immediately correct this situation and ensure my account accurately portrays my history of punctual payments.
Credit card,"I consistently ensure timely payments. What perplexes me is the company 's occasional late reporting, a discrepancy under USC 1666b, which mandates rectification of billing errors to reflect agreed-upon payments promptly."
Mortgage,The interest on my loan was extremely high. I can not tell if they put a down payment on my deposit and everyone that was involved in my loan was fired. I just thought that was kind of odd. Can you help me?
Debt collection,"this company reported to the credit bureau XXXX XXXX XXXX Address : XXXX XXXX XXXX XXXX XXXX, XXXX, TX XXXX Phone : ( XXXX ) XXXX Activity : XXXX XXXX XXXX ( Collections ) Balance Date : XX/XX/year> Balance : {$980.00}"
Credit reporting or other personal consumer reports,"I've learned that the creditor didn't provide the necessary 21-day notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor."
Checking or savings account,My account and my XXXX XXXX  XXXX XXXX XXXX ) .Both account was charged fee over the years.
Debt collection,"LVNV FUNDING LLC is billing me for a credit card debt I do not own or have ever owned. 
Identity theft victim."
Credit card or prepaid card,Please rectify this error promptly and ensure that my account reflects the fact that I have always been punctual with my payments.
"Credit reporting, credit repair services, or other personal consumer reports","I've contacted Toyota Financial and the credit bureaus requesting them to remove two vehicle loans that are now closed but reflecting late payments ; however, my divorce decree property settlement states my ex-wife is responsible for these account balance since 2013."
"Credit reporting, credit repair services, or other personal consumer reports",My credit scores are way too low for my excellent credit history. It seems like the bureaus are getting kick backs from financial institutions to keep the consumer down to pay the very high interest rate loans.
Credit card or prepaid card,"Comenity Capital Bank will not provide a monthly statement for XX/XX/2021. I sent a letter, on XX/XX/2021. My letter reads : "" This is a Billing Error Notice.... Please make available to me a monthly statement for XX/XX/2021. Although my account has a XXXX  balance, there was activity. ''"
Credit reporting or other personal consumer reports,"THIS ACCOUNT WAS CLOSED DUE TO FRAUD/IDENTITY THEFT AND NEEDS TO BE DELETED FROM MY CREDIT REPORT

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  
THE ACCOUNT SHOULD NOT STILL BE REPORTING FRAUDULENT INFORMATION ON MY CREDIT REPORT ex...late payments, charge-offs, collections etc..."
"Credit reporting, credit repair services, or other personal consumer reports",I settled and paid balance. Online it says XXXX but still reporting on my credit as not paid
Credit card or prepaid card,Citibank is refusing to proceed with arbitration regarding the terms and conditions.
Credit card or prepaid card,"I'm having difficulty accepting this issue and it's affecting my ability to sleep. I urge you to update my account immediately as I have always made timely payments, and this is causing me a lot of XXXX"
"Money transfer, virtual currency, or money service",I got scammed a few years back for XXXX for {$400.00} on XXXX. I was told that Chase can't help me with this issue
Credit card or prepaid card,"I want this late payment remove from my account, and I never been late with this account I working so hard to pay this monthly and this is not acceptable. 
See the documents attached."
Credit reporting or other personal consumer reports,"XXXX credit card, auto loan # XXXX and # XXXX, XXXX XXXX are included in bankruptcy XXXX yrs ago so violation bankruptcy law reporting reporting late payments anything after 2020. Remove late payments and charge off comment, against federal law Edit Delete"
Credit card,"I'm having difficulty accepting this issue and it's affecting my ability to sleep. I urge you to update my account immediately as I have always made timely payments, and this is causing me a lot of XXXX."
Credit card,"i need billing history for the account. I need to have full payment history, 1st date of delinquency, last payment date, 1st major delinquency, date account was opened and date account was closed."
Checking or savings account,"Dollars amount placed on hold to long, amount not adding up, bankers harass merchants, bankers copy merchants, banks baby sit account, banks question money funds to account, bankers stinks, bankers are to young,"
"Money transfer, virtual currency, or money service",So many hackers to my account no cash rewards to credit card
Debt collection,"Portfolio Recovery has failed to properly update my credit reports to show that they have been paid. 


I request that Portfolio Recovery update there records with the three major credits bureaus and send me a copy of my XXXX balance letter"
Credit reporting or other personal consumer reports,I received a balance statement from Chase credit card which I never opened.
Checking or savings account,Havent received direct deposit from last payroll XX/XX/year>. Company had an outage and was resolved but still have not received money on my checking account.
Checking or savings account,Transfer funds on XXXX and lost money due to fraud
Credit card or prepaid card,Unauthorized charges from XXXX totaling XXXX
Credit card or prepaid card,I never opened an account! I have no credit cards! It's fraud! Why does it take me forty minutes to report this online! Indigo Mastercard is a fraudulent company.
Credit card,Im begging you plese remove this to the credit report
Credit card or prepaid card,I see multiple XXXX days late marks which is a clear violation of my right under the FCRA. The company has never responded to any of my attempts to obtain any proof or documentation that will prove this account is being reported accurately.
Credit card,Unexpected interest rates. I over paid an amount I owed and got charged high interests rate when a day late. I feel like Ive been robbed from capital one and definitely owed amount I over paid. Hidden fees
"Credit reporting, credit repair services, or other personal consumer reports","I have NEVER been past 30 days late on  my Kohls  credit card and all  XXXX  agencies are reporting a late payment, this is wrong"
Checking or savings account,Wells Fargo keeps denying my card in XXXX. I spend hours on the phone with fraud detection
Credit card,"I affirm that the inclusion of incorrectly reported late payment remarks on my accounts is a breach of the 15 USC 1666. Every payment linked to these accounts has been promptly made, and any departure from this precise reporting is unjust and unlawful."
Debt collection,This was an XXXX DOLLAR CHARGE FROM 2013!! I PAID IT OFF MORE THAN 40 DAYS AGO. IT IS STILL SHOWING UP ON MY CREDIT REPORT ON XXXX. THE PEOPLE AT LOUISIANA RECOVERY SERVICES ARE SO STINKING RUDE!!!!
Credit card or prepaid card,"I received a prepaid debit card from PayPal. I did not request this card. I called the company but no one is available to help with possible fraud. 

Not sure if anyone tried to link a direct deposit account with this card."
Checking or savings account,"{$5000.00} dollars sent on XX/XX/year>, the thing is they say they ( crypto.com ) can not do nothing about it to the other party the money went to because I authorize it."
"Credit reporting, credit repair services, or other personal consumer reports",Showing fed loan servicing account from over 8 years ago on credit report showing I owe a balance
Credit card,I HAVE SEEN INACCURATE INFORMATION ON MY CREDIT REPORT IN REGARDS NATIONAL CREDIT SERVICES IN THE AMOUNT OF XXXX THAT IS GOING AGAINST MY CREDIT WORTHINESS.
"Money transfer, virtual currency, or money service",Im not sure when but I did see that money was sent and I know I didnt.
Credit card,Opened credit accounts without my knowledge
Credit card,This account was placed on my report when it was removed.
"Credit reporting, credit repair services, or other personal consumer reports",I was checking my credit report and saw some unauthorized and unvalidated inquiries on my report
Checking or savings account,On XX/XX/2021 XXXX took money out of my bank account without permission. They had no business doing so. The amount is {$64.00}. I do not accept this.
Checking or savings account,"Huntington closed my checking accounts with no explanation.

They stole my balance and refuse to state the reason why they closed my account and refuse to give me my balance on my account."
Credit reporting or other personal consumer reports,While checking my credit profile I saw I had some inquiries that didn't belong to me.
Checking or savings account,I have started using XXXX. It is a banking app that helps manage your money. It allows access to multiple accounts in one place. Capital one is blocking access and my ability to connect that account information.
"Credit reporting, credit repair services, or other personal consumer reports",Account in proper use wrong address incorrectly balance payment
"Credit reporting, credit repair services, or other personal consumer reports",I have incorrect information on my credit file as a result of identity theft : XXXX XXXX XXXX - XXXX - OPENED XX/XX/2018 - BALANCE {$360.00} XXXX XXXX XXXX - XXXX - OPENED XX/XX/2018 - BALANCE {$360.00} ( THIS IS A DUPLICATE ACCOUNT )
"Money transfer, virtual currency, or money service",Why I have no access to XXXX. Why I am banned in other banks from XXXX! who is responsible for this garbage software ( XXXX ). XXXX XXXX XXXX XXXX XXXX  ) says PNC and PNC says call XXXX. I mean what is going on?
Checking or savings account,I want to Link a brokerage account to my PNC bank account but PNC won't allow it and keep directing back to the broker but its PNC bank not allowing the linking of accounts
Credit card,I have a credit card I never opened or used on my credit.
Checking or savings account,It was in Capital One checking 360. They was XXXX bucks in the account that I did an was not the one to withdraw it so I am ask it to be replaced an me pay back for that money that was in my name an check account.
Credit card or prepaid card,Called company but no one answer.
"Money transfer, virtual currency, or money service",I would like to be reimbursed for the reported transactions.
Credit reporting or other personal consumer reports,My loan was paid in full and the account balance is a XXXX. XXXX keeps reporting the loan as the full balance and ED Financial and XXXX are not helping.
Checking or savings account,Bank of America closed my business account and dont give me the balance.
"Credit reporting, credit repair services, or other personal consumer reports","Comenity Bank went through a system update in XX/XX/2022 and since then, have not reported my credit info to the credit bureau. I paid off my balance and unfortunately this is not getting reported to the credit bureau, impacting my ability to get a mortgage loan."
Bank account or service,"I have been a victim of identity theft. This includes someone using a fake ID to withdraw money from my bank account ending in XXXX. 

The fraudulent transactions include 1 ) XXXX/XXXX/16 XXXX withdrawal 2 ) XXXX/XXXX/16 XXXX transactions from XXXX for XXXX ; XXXX ; and XXXX"
Checking or savings account,America First Federal Credit Union switched me to a Premium checking account which has a $ XXXX monthly fee. They did this without my consent and never sent me any paperwork. I first heard about it on their XXXX page.
Debt collection,Despite noting that the debt was paid and that they are no longer reporting it ( complain XXXX ) XXXX XXXX continues to report this collection with an incorrect balance to XXXX and XXXX. The original creditor has been paid.
"Credit reporting, credit repair services, or other personal consumer reports","I sent a letter to the Credit Bureaus requesting to reinvestigate the disputed Account from my credit report as well as update the Account from my report during the investigation period. As of this date, they have failed to respond to my request. 
XXXX XXXX XXXXXXXX Balance : {$290.00}."
"Payday loan, title loan, personal loan, or advance loan","One main financial Made sign in for this plan if I get sick will cover my payment. 

Their interest rated are crazy your loan never will go down. I believe I got this loan in XXXX."
Credit card,It is unfair that my consistent track record of timely payments for this account is not being acknowledged. I implore you to ensure that my account accurately reflects this without any inaccuracies.
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts. I am never been late on this account.
Credit card or prepaid card,There is a charge from XX/XX/XXXX on my credit card that I did not authorized or have any knowledge of!
"Credit reporting, credit repair services, or other personal consumer reports","The information is not information relating to any transaction by the consumer/creditor. I've been a victim of identity theft and did not make the charge. The account listed should be blocked, removed and suppressed for these are fraudulent and inaccurate. Fraudulent Account : XXXX XXXX XXXX XXXX XX/XX/2015 {$7800.00}."
Debt collection,This debt was paid. Lender is fraudulently attempting to charge an additional XXXX when lease was paid 100 %. Lender keeps reporting monthly with XXXX when lease debt was paid and car return in same condition it was leased.
Debt collection,"Dated XXXX, I received notification from United Collection Bureau Inc in reference to an alleged debt owed of {$3400.00}. Please provide validation of this alleged balance per FCRA regulations."
Checking or savings account,I made a {$4600.00} deposit on my Citibank checking account and the atm only counted {$3600.00} which is {$950.00} less The deposit was made XXXX XXXX XXXX
"Money transfer, virtual currency, or money service",They shut my account down for no reason at all and I tried to add money to my account. I contacted support but no live person. They just sent me a message saying my account was suspended.
Credit card or prepaid card,"I have raised a dispute on this account and attempted to contact the company/creditors several times without success. On my credit record, this account is incorrectly reported."
Credit card or prepaid card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
Credit reporting or other personal consumer reports,"An unknown person used my information to apply for a credit card from this company, XXXX, XXXX, XXXX XXXX, and XXXX. I'm unaware of those credit card checks or applied for those credit cards."
Credit reporting,Credit cards have listed balances on Equifax after bankruptcy. Have disputed 3 times and they continue to list balances. My understanding is that balance should be XXXX after bankruptcy.
Credit card,My information was heisted and this accounts are fraudulent and do not belong to me. I would like these accounts completely removed from all three credit bureaus on my credit report.
Credit card,"I've always ensured that payments on this account are made on time, never letting them become overdue. However, I'm unsure about the reasons for reports of late payment remarks on my accounts. According to 15 USC 1666b - Billing Error, these should be corrected."
Credit reporting or other personal consumer reports,Records shows payment was made on XX/XX/XXXX to cover past due balance for XXXX. I was on time. No Past due payment should be reported.
Credit card or prepaid card,I was denied credit card increase and credit card not issused
"Money transfer, virtual currency, or money service",I sent money to the incorrect person and they stated they could not recover the money.
Credit card or prepaid card,"XX/XX/2022 {$410.00} Best BuyXXXX XXXX Received email indicating a debit of the above amount was going to be debited from my account.

I called Best Buy and this is a scam as I have never enrolled in the XXXX XXXX XXXX from Best Buy."
Debt collection,"on XX/XX/2016 I sent a debt validation letter requesting alleged balance including calculation, proof that the account is correct, documents showing I agreed to pay this debt and agreement that grants authority to collect this debt. I have not received any response from them."
"Credit reporting, credit repair services, or other personal consumer reports","The folllowing account is being reported inaccurately ... .... 
XXXX XXXX XXXX XXXX {$120.00} The Balance on this account has been paid in full."
Checking or savings account,From the years of XXXX XXXX with navy federal between XXXX I was charged countless overdraft fees on funds that should have not been able to be withdrawn
Credit reporting or other personal consumer reports,"XXXX XXXX XXXX XXXX XXXX was the victim of a robbery of his identity documents resultin the accounts below : XXXX XXXX XXXX Auto Loan with account # XXXX on XX/XX/year>. 
XXXX Credit Card with account # XXXX with a balance of XXXX"
Debt collection,They have collected for over 10 years and never applied any amount to principal. They only applied to interest and fees. How is this possible?
Credit card or prepaid card,"XX/XX/2023 I received a letter from Capital One, application number XXXX, with someone fraudulently using my address. I called Capital One and notified them of the activity and they noted that the resident and address do not match. The company directed me to this site."
Credit card,"Citi closed my Citi Rewards+ Card account without my permission and without notifying me. This caused me the loss of approximately XXXX Citi Thank You Points which I had earned and was saving. When I called Citi to ask about this, they refused to restore the points."
Credit card,I implore you to promptly rectify my account. It feels unjust to suffer the consequences of an error for which I am not responsible. This situation has become a significant source of XXXX and I earnestly hope for a swift resolution.
Credit card or prepaid card,"I always paid my account on time, and yet they closed it. 
it does not seem fair that I pay my bills on time and still get treated so poorly."
Student loan,"I am unable to get a lower interest rate on my student loan, which has been 10.75 % with XXXX XXXX, now Navient. If the XXXX XXXX crooks can get loaned money at basically 0 %, then I should have the capability to lower my rate."
Credit card or prepaid card,"The company has refused to accommodate my XXXX and has refused any interactive good faith process to accommodate my XXXX in accordance with the XXXX. 
Each time I asked I was ignored or hung up on. 
This happened over 20 times."
"Credit reporting, credit repair services, or other personal consumer reports","In my credit report, show an account, it's not my, is XXXX  XXXX XXXX, I don't have any credit card from them. 
The account for {$10.00}, I don't recognize this account."
